edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Europe,POL,2001,UPPSRY,MEN,71.615967,18.531251,13.2713346
Europe,POL,2001,UPPSRY,WOMEN,65.854065,19.716825,12.98433075
Europe,PRT,2001,NONE,MEN,80.820765,5.002916,4.043394984
Europe,PRT,2001,NONE,WOMEN,78.753567,5.3598055,4.221038016
Europe,PRT,2001,TRY,MEN,7.606348,5.002916,0.380539201
Europe,PRT,2001,TRY,WOMEN,10.787923,5.3598055,0.57821169
Europe,PRT,2001,UPPSRY,MEN,11.572887,5.002916,0.578981815
Europe,PRT,2001,UPPSRY,WOMEN,10.45851,5.3598055,0.560555794
Europe,SVK,2001,NONE,MEN,10.209501,2.612684,0.266741999
Europe,SVK,2001,NONE,WOMEN,19.406206,2.767096,0.53698835
Europe,SVK,2001,TRY,MEN,11.300043,2.612684,0.295234415
Europe,SVK,2001,TRY,WOMEN,10.596579,2.767096,0.293217514
Europe,SVK,2001,UPPSRY,MEN,78.490456,2.612684,2.050707585
Europe,SVK,2001,UPPSRY,WOMEN,69.997215,2.767096,1.936890136
Europe,SWE,2001,NONE,MEN,21.082289,4.400598,0.927746788
Europe,SWE,2001,NONE,WOMEN,17.58422,4.495365,0.790474871
Europe,SWE,2001,TRY,MEN,29.704935,4.400598,1.307194776
Europe,SWE,2001,TRY,WOMEN,33.559277,4.495365,1.508611993
Europe,SWE,2001,UPPSRY,MEN,49.212776,4.400598,2.165656436
Europe,SWE,2001,UPPSRY,WOMEN,48.856503,4.495365,2.196278136
Europe,TUR,2001,NONE,MEN,72.6366824,32.621199,23.69495671
Europe,TUR,2001,NONE,WOMEN,81.2001677,32.5451315,26.42670136
Europe,TUR,2001,TRY,MEN,9.7764606,32.621199,3.189198667
Europe,TUR,2001,TRY,WOMEN,6.7813683,32.5451315,2.207005231
Europe,TUR,2001,UPPSRY,MEN,17.586857,32.621199,5.73704362
Europe,TUR,2001,UPPSRY,WOMEN,12.018464,32.5451315,3.911424913
N America,USA,2001,NONE,MEN,13.185158,139.998551,18.45903015
N America,USA,2001,NONE,WOMEN,12.069046,145.083005,17.51013461
N America,USA,2001,TRY,MEN,37.539955,139.998551,52.55539305
N America,USA,2001,TRY,WOMEN,37.501244,145.083005,54.40793171
N America,USA,2001,UPPSRY,MEN,49.274887,139.998551,68.98412781
N America,USA,2001,UPPSRY,WOMEN,50.42971,145.083005,73.16493868
Oceania,AUS,2002,NONE,MEN,32.602114,9.675483,3.154411998
Oceania,AUS,2002,NONE,WOMEN,45.470873,9.819727,4.465115593
